x_gal_kpc,y_gal_kpc,z_gal_kpc,R_kpc,feh,componente,x_hel_kpc,y_hel_kpc,z_hel_kpc,d_hel_kpc,l_deg,b_deg
-2.39091,-4.46976,-0.07077,5.06904,0.15890,0,5.80909,-4.46976,-0.09157,7.33026,322.42380,-0.71574
0.61582,5.07888,0.17641,5.11608,0.20862,0,8.81582,5.07888,0.15561,10.17536,29.94666,0.87627
0.12715,0.54173,-0.82175,0.55645,0.48670,0,8.32715,0.54173,-0.84255,8.38718,3.72215,-5.76551
-6.92244,-1.49894,0.65129,7.08287,-0.06405,0,1.27756,-1.49894,0.63049,2.06797,310.44113,17.75112
1.15628,4.25869,0.76602,4.41287,0.18016,0,9.35628,4.25869,0.74522,10.30688,24.47355,4.14628
5.01999,3.97534,-0.72916,6.40341,0.16441,0,13.21999,3.97534,-0.74996,13.82512,16.73637,-3.10959
-3.75293,0.05988,0.71388,3.75341,0.30925,0,4.44707,0.05988,0.69308,4.50115,0.77142,8.85761
5.54156,2.92459,1.11237,6.26595,0.10237,0,13.74156,2.92459,1.09157,14.09168,12.01489,4.44270
-2.79584,1.66738,-0.35652,3.25528,0.22547,0,5.40416,1.66738,-0.37732,5.66811,17.14686,-3.81696
-2.85048,1.54427,0.14281,3.24191,0.17502,0,5.34952,1.54427,0.12201,5.56929,16.10203,1.25527
-0.77060,-0.37504,0.03465,0.85702,0.40725,0,7.42940,-0.37504,0.01385,7.43887,357.11010,0.10669
-0.19164,-8.77002,-0.32969,8.77211,-0.10312,0,8.00836,-8.77002,-0.35049,11.88149,312.40083,-1.69042
7.32020,3.44267,-0.64810,8.08933,-0.12476,0,15.52020,3.44267,-0.66890,15.91150,12.50676,-2.40936
0.01120,-0.13520,1.12081,0.13566,0.43562,0,8.21120,-0.13520,1.10001,8.28566,359.05672,7.62917
0.08476,0.20632,0.19192,0.22305,0.58767,0,8.28476,0.20632,0.17112,8.28910,1.42659,1.18290
-1.15035,1.80497,-1.57819,2.14037,0.28697,0,7.04965,1.80497,-1.59899,7.45066,14.36127,-12.39270
0.74206,-6.79828,0.18582,6.83866,0.23951,0,8.94206,-6.79828,0.16502,11.23407,322.75576,0.84164
-0.38315,-0.05156,-0.54986,0.38660,0.36550,0,7.81685,-0.05156,-0.57066,7.83782,359.62210,-4.17528
0.54067,0.07647,0.36991,0.54606,0.55243,0,8.74067,0.07647,0.34911,8.74798,0.50124,2.28712
2.64077,1.70169,0.13834,3.14156,0.36775,0,10.84077,1.70169,0.11754,10.97414,8.92100,0.61368
-6.07246,-0.22141,-0.60610,6.07649,0.13209,0,2.12754,-0.22141,-0.62690,2.22900,354.05864,-16.33463
-1.28521,3.22190,0.47352,3.46878,0.26695,0,6.91479,3.22190,0.45272,7.64198,24.98289,3.39629
-0.55691,-0.35564,-0.80460,0.66078,0.59922,0,7.64309,-0.35564,-0.82540,7.69575,357.33590,-6.15704
-0.13272,-0.52753,-0.28860,0.54397,0.45137,0,8.06728,-0.52753,-0.30940,8.09043,356.25869,-2.19166
1.39327,-2.28630,0.14502,2.67738,0.25925,0,9.59327,-2.28630,0.12422,9.86273,346.59513,0.72168
0.07250,0.27828,-0.45902,0.28757,0.40759,0,8.27250,0.27828,-0.47982,8.29107,1.92667,-3.31767
0.50539,2.98279,2.09019,3.02530,0.33192,0,8.70539,2.98279,2.06939,9.43203,18.91335,12.67380
1.87591,-0.68953,0.23388,1.99862,0.38346,0,10.07591,-0.68953,0.21308,10.10172,356.08513,1.20865
2.33540,1.21300,0.73296,2.63162,0.33029,0,10.53540,1.21300,0.71216,10.62888,6.56785,3.84182
4.13102,0.87588,0.58904,4.22286,0.19556,0,12.33102,0.87588,0.56824,12.37514,4.06292,2.63182
-1.05534,1.37712,0.07389,1.73500,0.38145,0,7.14466,1.37712,0.05309,7.27636,10.90989,0.41807
0.00751,-0.00328,-0.12672,0.00819,0.51483,0,8.20751,-0.00328,-0.14752,8.20883,359.97709,-1.02970
-0.71360,3.11753,0.27394,3.19816,0.21561,0,7.48640,3.11753,0.25314,8.11352,22.60815,1.78792
-0.51357,-2.97240,-1.02908,3.01644,0.23691,0,7.68643,-2.97240,-1.04988,8.30775,338.85812,-7.26007
-2.44261,-4.27527,-0.16598,4.92385,0.16536,0,5.75739,-4.27527,-0.18678,7.17358,323.40350,-1.49199
2.42734,1.02358,-0.14871,2.63433,0.38909,0,10.62734,1.02358,-0.16951,10.67786,5.50152,-0.90958
3.00565,-0.94775,-0.34203,3.15154,0.22626,0,11.20565,-0.94775,-0.36283,11.25151,355.16555,-1.84795
10.29620,-0.49057,1.19319,10.30788,0.05524,0,18.49620,-0.49057,1.17239,18.53981,358.48071,3.62559
0.10879,3.13000,-0.71381,3.13189,0.23432,1,8.30879,3.13000,-0.73461,8.90913,20.64185,-4.72972
0.92437,1.78189,-0.28986,2.00738,0.28827,0,9.12437,1.78189,-0.31066,9.30192,11.05015,-1.91387
0.10753,3.03611,-0.19390,3.03801,0.28531,0,8.30753,3.03611,-0.21470,8.84755,20.07558,-1.39054
-1.57928,0.30563,-0.78379,1.60858,0.40460,0,6.62072,0.30563,-0.80459,6.67643,2.64301,-6.92169
3.88504,-0.77551,0.05860,3.96169,0.14682,0,12.08504,-0.77551,0.03780,12.10996,356.32830,0.17884
1.09510,-2.84060,-0.27801,3.04438,0.18912,0,9.29510,-2.84060,-0.29881,9.72405,343.00677,-1.76092
0.99662,-1.60174,-0.35749,1.88649,0.32765,0,9.19662,-1.60174,-0.37829,9.34273,350.12010,-2.32058
-3.75000,-7.25915,0.21995,8.17054,0.01791,1,4.45000,-7.25915,0.19915,8.51689,301.50909,1.33988
-2.10894,-0.01287,-1.57527,2.10898,0.31279,0,6.09106,-0.01287,-1.59607,6.29671,359.87895,-14.68334
2.57968,3.74720,0.46936,4.54931,0.23905,0,10.77968,3.74720,0.44856,11.42122,19.16830,2.25084
-0.05605,-0.13175,-1.09881,0.14318,0.30409,0,8.14395,-0.13175,-1.11961,8.22160,359.07316,-7.82682
-0.26043,-0.49632,-0.66917,0.56050,0.33649,0,7.93957,-0.49632,-0.68997,7.98493,356.42294,-4.95705
0.35128,1.57299,0.36493,1.61174,0.39200,0,8.55128,1.57299,0.34413,8.70156,10.42294,2.26654
2.35724,2.97621,0.30476,3.79663,0.42405,0,10.55724,2.97621,0.28396,10.97241,15.74376,1.48296
-1.26373,-1.44774,-0.09050,1.92171,0.45429,0,6.93627,-1.44774,-0.11130,7.08662,348.21050,-0.89991
-0.32312,-3.67236,0.22103,3.68655,0.22766,0,7.87688,-3.67236,0.20023,8.69319,335.00413,1.31984
-2.73872,1.27162,-0.33708,3.01953,0.21618,0,5.46128,1.27162,-0.35788,5.61878,13.10735,-3.65180
0.06852,0.44526,0.20047,0.45051,0.35048,0,8.26852,0.44526,0.17967,8.28245,3.08243,1.24299
0.05706,2.52278,0.25322,2.52342,0.36554,0,8.25706,2.52278,0.23242,8.63698,16.98946,1.54202
8.05327,-3.00577,-1.70998,8.59592,-0.08332,0,16.25327,-3.00577,-1.73078,16.61924,349.52247,-5.97779
0.66389,0.82667,-0.09382,1.06025,0.50741,0,8.86389,0.82667,-0.11462,8.90309,5.32815,-0.73765
3.87204,-0.90152,-0.92534,3.97560,0.25034,0,12.07204,-0.90152,-0.94614,12.14257,355.72917,-4.46896
0.25147,-0.64911,-0.28997,0.69612,0.54855,0,8.45147,-0.64911,-0.31077,8.48205,355.60802,-2.09970
-0.41037,2.15638,0.29597,2.19508,0.35197,0,7.78963,2.15638,0.27517,8.08728,15.47352,1.94984
-0.03148,0.11362,1.06799,0.11790,0.50156,0,8.16852,0.11362,1.04719,8.23616,0.79691,7.30465
3.19023,1.43472,0.39208,3.49800,0.24552,0,11.39023,1.43472,0.37128,11.48623,7.17918,1.85233
-0.27581,0.13435,-0.75965,0.30679,0.58692,0,7.92419,0.13435,-0.78045,7.96367,0.97135,-5.62412
-0.00377,0.11723,-0.06254,0.11729,0.53155,0,8.19623,0.11723,-0.08334,8.19749,0.81944,-0.58250
-2.58480,0.84169,-0.27490,2.71839,0.29980,0,5.61520,0.84169,-0.29570,5.68562,8.52489,-2.98125
-0.64900,0.38028,0.05372,0.75221,0.36081,0,7.55100,0.38028,0.03292,7.56064,2.88307,0.24946
