# P t0 rp_rs a_rs b
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.066412822691404472e+00 4.501989525937229075e+01 1.125390701685874059e-02 1.106730432410833842e+01 3.045158927230909862e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.090290827155831366e+00 4.502649179052979633e+01 9.989008971094111983e-03 1.110650604856315482e+01 2.709987737027317878e-01
9.098705591501937917e+00 4.503513952790857644e+01 1.395805976276522781e-02 1.190206618037504072e+01 2.405714263675788334e-01
9.098705591501937917e+00 4.503513952790857644e+01 1.395805976276522781e-02 1.190206618037504072e+01 2.405714263675788334e-01
9.055096999151126980e+00 4.503310994815121404e+01 1.324322322717064182e-02 1.133544533804435872e+01 2.614643343421143573e-01
9.055096999151126980e+00 4.503310994815121404e+01 1.324322322717064182e-02 1.133544533804435872e+01 2.614643343421143573e-01
9.055096999151126980e+00 4.503310994815121404e+01 1.324322322717064182e-02 1.133544533804435872e+01 2.614643343421143573e-01
9.089695571267759178e+00 4.503519667149534200e+01 1.520304182875656905e-02 1.207358039157541540e+01 2.259358212274215072e-01
9.089695571267759178e+00 4.503519667149534200e+01 1.520304182875656905e-02 1.207358039157541540e+01 2.259358212274215072e-01
9.089695571267759178e+00 4.503519667149534200e+01 1.520304182875656905e-02 1.207358039157541540e+01 2.259358212274215072e-01
9.089695571267759178e+00 4.503519667149534200e+01 1.520304182875656905e-02 1.207358039157541540e+01 2.259358212274215072e-01
9.089695571267759178e+00 4.503519667149534200e+01 1.520304182875656905e-02 1.207358039157541540e+01 2.259358212274215072e-01
9.089695571267759178e+00 4.503519667149534200e+01 1.520304182875656905e-02 1.207358039157541540e+01 2.259358212274215072e-01
9.089695571267759178e+00 4.503519667149534200e+01 1.520304182875656905e-02 1.207358039157541540e+01 2.259358212274215072e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.280409367615662930e+00 4.502825929645686642e+01 1.152579707932724525e-02 1.121104164576157203e+01 2.253363906405176087e-01
9.068984545884820392e+00 4.501715546559722014e+01 9.705699953010068354e-03 1.039119073373269941e+01 2.853594573881265695e-01
9.068984545884820392e+00 4.501715546559722014e+01 9.705699953010068354e-03 1.039119073373269941e+01 2.853594573881265695e-01
9.068984545884820392e+00 4.501715546559722014e+01 9.705699953010068354e-03 1.039119073373269941e+01 2.853594573881265695e-01
9.083465587252126383e+00 4.500913919261614637e+01 8.539873260479127759e-03 1.164437213548389671e+01 2.373923044200356158e-01
9.083465587252126383e+00 4.500913919261614637e+01 8.539873260479127759e-03 1.164437213548389671e+01 2.373923044200356158e-01
9.080728934613208736e+00 4.500955357784580002e+01 8.288076937761620216e-03 1.149468337134467077e+01 2.203737816247793302e-01
9.080728934613208736e+00 4.500955357784580002e+01 8.288076937761620216e-03 1.149468337134467077e+01 2.203737816247793302e-01
9.079427115059186093e+00 4.501129418669849258e+01 8.133717477434616525e-03 1.069226383419512061e+01 1.788754198210708579e-01
9.079427115059186093e+00 4.501129418669849258e+01 8.133717477434616525e-03 1.069226383419512061e+01 1.788754198210708579e-01
9.079427115059186093e+00 4.501129418669849258e+01 8.133717477434616525e-03 1.069226383419512061e+01 1.788754198210708579e-01
9.079427115059186093e+00 4.501129418669849258e+01 8.133717477434616525e-03 1.069226383419512061e+01 1.788754198210708579e-01
9.079427115059186093e+00 4.501129418669849258e+01 8.133717477434616525e-03 1.069226383419512061e+01 1.788754198210708579e-01
